title,url,date,authors,content,sentiment
Apple and Google partner on COVID-19 contact tracing technology - Apple,https://www.apple.com/newsroom/2020/04/apple-and-google-partner-on-covid-19-contact-tracing-technology/,"Fri, 10 Apr 2020 07:00:00 GMT",[],"Across the world, governments and health authorities are working together to find solutions to the COVID-19 pandemic, to protect people and get society back up and running. Software developers are contributing by crafting technical tools to help combat the virus and save lives. In this spirit of collaboration, Google and Apple are announcing a joint effort to enable the use of Bluetooth technology to help governments and health agencies reduce the spread of the virus, with user privacy and security central to the design.Since COVID-19 can be transmitted through close proximity to affected individuals, public health officials have identified contact tracing as a valuable tool to help contain its spread. A number of leading public health authorities, universities, and NGOs around the world have been doing important work to develop opt-in contact tracing technology. To further this cause, Apple and Google will be launching a comprehensive solution that includes application programming interfaces (APIs) and operating system-level technology to assist in enabling contact tracing. Given the urgent need, the plan is to implement this solution in two steps while maintaining strong protections around user privacy.First, in May, both companies will release APIs that enable interoperability between Android and iOS devices using apps from public health authorities. These official apps will be available for users to download via their respective app stores.Second, in the coming months, Apple and Google will work to enable a broader Bluetooth-based contact tracing platform by building this functionality into the underlying platforms. This is a more robust solution than an API and would allow more individuals to participate, if they choose to opt in, as well as enable interaction with a broader ecosystem of apps and government health authorities. Privacy, transparency, and consent are of utmost importance in this effort, and we look forward to building this functionality in consultation with interested stakeholders. We will openly publish information about our work for others to analyze.All of us at Apple and Google believe there has never been a more important moment to work together to solve one of the world’s most pressing problems. Through close cooperation and collaboration with developers, governments and public health providers, we hope to harness the power of technology to help countries around the world slow the spread of COVID-19 and accelerate the return of everyday life.",0
Apple announces Mac transition to Apple silicon - Apple,https://www.apple.com/newsroom/2020/06/apple-announces-mac-transition-to-apple-silicon/,"Mon, 22 Jun 2020 07:00:00 GMT",[],"Cupertino, California — In a historic day for the Mac, Apple today announced it will transition the Mac to its world-class custom silicon to deliver industry-leading performance and powerful new technologies. Developers can now get started updating their apps to take advantage of the advanced capabilities of Apple silicon in the Mac. This transition will also establish a common architecture across all Apple products, making it far easier for developers to write and optimize their apps for the entire ecosystem.Apple today also introduced macOS Big Sur, the next major release of macOS, which delivers its biggest update in more than a decade and includes technologies that will ensure a smooth and seamless transition to Apple silicon. Developers can easily convert their existing apps to run on Apple silicon, taking advantage of its powerful technologies and performance. And for the first time, developers can make their iOS and iPadOS apps available on the Mac without any modifications.To help developers get started with Apple silicon, Apple is also launching the Universal App Quick Start Program, which provides access to documentation, forums support, beta versions of macOS Big Sur and Xcode 12, and the limited use of a Developer Transition Kit (DTK), a Mac development system based on Apple’s A12Z Bionic System on a Chip (SoC).Apple plans to ship the first Mac with Apple silicon by the end of the year and complete the transition in about two years. Apple will continue to support and release new versions of macOS for Intel-based Macs for years to come, and has exciting new Intel-based Macs in development. The transition to Apple silicon represents the biggest leap ever for the Mac.“From the beginning, the Mac has always embraced big changes to stay at the forefront of personal computing. Today we’re announcing our transition to Apple silicon, making this a historic day for the Mac,” said Tim Cook, Apple’s CEO. “With its powerful features and industry-leading performance, Apple silicon will make the Mac stronger and more capable than ever. I’ve never been more excited about the future of the Mac.”Family of Mac SoCs to Deliver Powerful New Features and Best-in-Class PerformanceFor over a decade, Apple’s world-class silicon design team has been building and refining Apple SoCs. The result is a scalable architecture custom designed for iPhone, iPad, and Apple Watch that leads the industry in unique features and performance per watt, and makes each of them best in class. Building upon this architecture, Apple is designing a family of SoCs for the Mac. This will give the Mac industry-leading performance per watt and higher performance GPUs — enabling app developers to write even more powerful pro apps and high-end games. And access to technologies such as the Neural Engine will make the Mac an amazing platform for developers to use machine learning. This will also create a common architecture across all Apple products, making it far easier for developers to write and optimize software for the entire Apple ecosystem.macOS Big Sur Enables Transition to Apple SiliconIn macOS Big Sur, Apple is offering a range of technologies to make the transition to Apple silicon smooth and seamless. With everything built into Xcode 12, such as native compilers, editors, and debugging tools, most developers will be able to get their apps running in a matter of days. Using Universal 2 application binaries, developers will be able to easily create a single app that taps into the native power and performance of the new Macs with Apple silicon, while still supporting Intel-based Macs. With the translation technology of Rosetta 2, users will be able to run existing Mac apps that have not yet been updated, including those with plug-ins. Virtualization technology allows users to run Linux. Developers can also make their iOS and iPadOS apps available on the Mac without any modifications.Quick Start Program Lets Developers Get Started Today",0
Apple announces App Store Small Business Program - Apple,https://www.apple.com/newsroom/2020/11/apple-announces-app-store-small-business-program/,"Wed, 18 Nov 2020 08:00:00 GMT",[],"“Small businesses are the backbone of our global economy and the beating heart of innovation and opportunity in communities around the world. We’re launching this program to help small business owners write the next chapter of creativity and prosperity on the App Store, and to build the kind of quality apps our customers love,” said Tim Cook, Apple’s CEO. “The App Store has been an engine of economic growth like none other, creating millions of new jobs and a pathway to entrepreneurship accessible to anyone with a great idea. Our new program carries that progress forward — helping developers fund their small businesses, take risks on new ideas, expand their teams, and continue to make apps that enrich people’s lives.”While the comprehensive details will be released in early December, the essentials of the program’s participation criteria are easy and streamlined:Existing developers who made up to $1 million in 2020 for all of their apps, as well as developers new to the App Store, can qualify for the program and the reduced commission.If a participating developer surpasses the $1 million threshold, the standard commission rate will apply for the remainder of the year.If a developer’s business falls below the $1 million threshold in a future calendar year, they can requalify for the 15 percent commission the year after.The App Store’s standard commission rate of 30 percent remains in place for apps selling digital goods and services and making more than $1 million in proceeds, defined as a developer’s post-commission earnings. Earlier this year, an independent study by the Analysis Group found that Apple’s commission structure is in the mainstream for app distribution and gaming platforms.Small business owners will continue to benefit from Apple’s unparalleled suite of developer tools — including development applications, programming languages, a secure payment interface, and more than 250,000 essential software building blocks called APIs. Apple is committed to giving developers the tools to turn their brightest ideas into apps that change the world. Tools like HealthKit give engineers secure access to user health data, ARKit empowers developers to explore new frontiers of augmented reality, and Core ML harnesses the speed and intelligence of machine learning to help developers build powerful features with just a few lines of code.",0
iPhone SE: A powerful new smartphone in a popular design - Apple,https://www.apple.com/newsroom/2020/04/iphone-se-a-powerful-new-smartphone-in-a-popular-design/,"Wed, 15 Apr 2020 07:00:00 GMT",[],"Popular Design with a 4.7-inch DisplayiPhone SE features an aerospace-grade aluminum and durable glass design with an all-black front, and is available in black, white and (PRODUCT)RED. The rear glass finish includes a centered Apple logo and is made using a seven-layer color process for precise hue and opacity, delivering rich depth of color with a color-matched aluminum band. It is water- and dust-resistant with an IP67 rating for water resistance up to 1 meter for 30 minutes.1The 4.7-inch Retina HD display with True Tone adjusts the white balance to match the ambient light for a more natural, paper-like viewing experience. The vibrant wide color gamut Retina HD display offers incredible color accuracy, and supports Dolby Vision and HDR10 playback. iPhone SE uses Haptic Touch for Quick Actions — such as animating Live Photos, previewing messages, rearranging apps and more — as well as contextual menus.iPhone SE also features the familiar Home button designed with sapphire crystal to be durable and to protect the sensor, and a steel ring to detect a user’s fingerprint for Touch ID. Using Touch ID is an easy, private and secure alternative to entering a passcode to unlock iPhone, fill in passwords using iCloud Keychain, log in to apps, authorize App Store purchases, and make Apple Pay transactions.",0
Apple unveils new iPad Pro with LiDAR Scanner and trackpad support in iPadOS - Apple,https://www.apple.com/newsroom/2020/03/apple-unveils-new-ipad-pro-with-lidar-scanner-and-trackpad-support-in-ipados/,"Wed, 18 Mar 2020 07:00:00 GMT",[],"Apple today also introduced the new Magic Keyboard for iPad Pro. With a floating design with smooth angle adjustment, a backlit keyboard and trackpad, the Magic Keyboard delivers the best typing experience ever on iPad. The Magic Keyboard will be available for purchase in May.“The new iPad Pro introduces advanced technologies never before available in mobile computing,” said Phil Schiller, Apple’s senior vice president of Worldwide Marketing. “Combining the most advanced mobile display with powerful performance, pro cameras, pro audio, the breakthrough LiDAR Scanner and new Magic Keyboard with Trackpad, this is another huge leap forward for iPad. There’s no other device in the world like the new iPad Pro and we think our customers are going to love it.”“We’re making iPad even more capable and versatile by bringing trackpad support to iPadOS,” said Craig Federighi, Apple’s senior vice president of Software Engineering. “We carefully considered the best way to integrate trackpad use into a touch-first environment while retaining everything our customers know and love about iPad. We’re thrilled to bring this new way of interacting with iPad to the millions of people using iPadOS today.”Pro Performance with A12Z Bionic ChipBuilt for the most demanding tasks, like editing 4K video or designing 3D models, iPad Pro gets another performance boost with the new A12Z Bionic chip. The eight-core GPU in the A12Z Bionic, along with an enhanced thermal architecture and tuned performance controllers, gives iPad Pro the highest performance ever in an iPad. Combined with the eight-core CPU and the powerful Neural Engine, which enables next-generation apps, there’s no other chip that can offer the incredible performance found in the thin and light design of iPad Pro. With great battery life lasting up to 10 hours,1 faster Wi-Fi connectivity2 and gigabit-class LTE that’s 60 percent faster3 with support for more LTE bands than any other tablet, customers can stay productive and creative all day.",0
New MacBook Air has more to love and is now just $999 - Apple,https://www.apple.com/newsroom/2020/03/new-macbook-air-has-more-to-love-and-is-now-just-999/,"Wed, 18 Mar 2020 07:00:00 GMT",[],"1 The new 2 and up to 80 percent faster graphics performance,3 letting customers breeze through daily activities and play more games. Now starting with 256GB of storage, MacBook Air allows customers to store even more movies, photos and files. With its brilliant 13-inch Retina display for vivid images and sharp text, Touch ID for easy login and secure online purchases, spacious trackpad, and all-day battery life combined with the power of macOS Catalina, it’s the best MacBook Air ever made. Cupertino, California — Apple today updated MacBook Air, the world’s most loved notebook, with faster performance, the new Magic Keyboard, twice the storage and a new lower price of $999, and $899 for education.The new MacBook Air delivers up to two times faster CPU performanceand up to 80 percent faster graphics performance,letting customers breeze through daily activities and play more games. Now starting with 256GB of storage, MacBook Air allows customers to store even more movies, photos and files. With its brilliant 13-inch Retina display for vivid images and sharp text, Touch ID for easy login and secure online purchases, spacious trackpad, and all-day battery life combined with the power of macOS Catalina, it’s the best MacBook Air ever made.“From students and consumers buying their first computer to customers looking to upgrade, everyone loves the Mac, and they especially love MacBook Air. Today we’re giving it a huge update, with two times faster performance, the new Magic Keyboard, double the storage, a new lower price of $999 and an even lower price of $899 for education,” said Tom Boger, Apple’s senior director of Mac and iPad Product Marketing. “With its stunning, thin and light design, brilliant Retina display, all-day battery life and the power and ease-of-use of macOS, MacBook Air is the world’s best consumer notebook.”Faster Everyday PerformanceOffering quad-core processors for the first time, MacBook Air now delivers even more speed across everyday activities, from organizing photos and creating presentations to editing videos. Featuring the latest 10th-generation Intel Core processors up to 1.2GHz quad-core Core i7 with Turbo Boost speeds up to 3.8GHz, MacBook Air delivers up to two times faster performance when compared to the previous generation. And with Intel Iris Plus Graphics, MacBook Air now delivers up to 80 percent faster graphics performance, so graphics-intensive activities like playing games and editing video are faster than ever.",0
Apple unleashes M1 - Apple,https://www.apple.com/newsroom/2020/11/apple-unleashes-m1/,"Tue, 10 Nov 2020 08:00:00 GMT",[],"macOS Big Sur Optimized for M1macOS Big Sur is engineered, down to its core, to take full advantage of all the capability and power of M1, delivering a massive boost in performance, astonishing battery life, and even stronger security protections. With M1, things users do every day feel noticeably faster and smoother. Just like iPhone and iPad, the Mac now instantly wakes from sleep. Browsing with Safari — which is already the world’s fastest browser — is now up to 1.5x speedier at running JavaScript and nearly 2x more responsive.2With Big Sur and M1, Mac users can run a greater range of apps than ever before. All of Apple’s Mac software is now Universal and runs natively on M1 systems. Existing Mac apps that have not been updated to Universal will run seamlessly with Apple’s Rosetta 2 technology. And iPhone and iPad apps can now run directly on the Mac. Additionally, the foundations of Big Sur are optimized to unlock the power of M1, including developer technologies from Metal for graphics to Core ML for machine learning.",0
Apple commits to be 100 percent carbon neutral for its supply chain and products by 2030 - Apple,https://www.apple.com/newsroom/2020/07/apple-commits-to-be-100-percent-carbon-neutral-for-its-supply-chain-and-products-by-2030/,"Tue, 21 Jul 2020 07:00:00 GMT",[],"Cupertino, California — Apple today unveiled its plan to become carbon neutral across its entire business, manufacturing supply chain, and product life cycle by 2030. The company is already carbon neutral today for its global corporate operations, and this new commitment means that by 2030, every Apple device sold will have net zero climate impact.“Businesses have a profound opportunity to help build a more sustainable future, one born of our common concern for the planet we share,” said Tim Cook, Apple’s CEO. “The innovations powering our environmental journey are not only good for the planet — they’ve helped us make our products more energy efficient and bring new sources of clean energy online around the world. Climate action can be the foundation for a new era of innovative potential, job creation, and durable economic growth. With our commitment to carbon neutrality, we hope to be a ripple in the pond that creates a much larger change.”Apple is providing detail on its approach to carbon neutrality with a roadmap for other companies, as industries look to reduce their impact on climate change. In its 2020 Environmental Progress Report — released today — Apple details its plans to reduce emissions by 75 percent by 2030 while developing innovative carbon removal solutions for the remaining 25 percent of its comprehensive footprint.",0
Apple announces iPhone 12 and iPhone 12 mini: A new era for iPhone with 5G - Apple,https://www.apple.com/newsroom/2020/10/apple-announces-iphone-12-and-iphone-12-mini-a-new-era-for-iphone-with-5g/,"Tue, 13 Oct 2020 07:00:00 GMT",[],"iPhone 12 and iPhone 12 mini will be available in five beautiful aluminum finishes, including blue, green, black, white, and (PRODUCT)RED.1 Pre-orders for iPhone 12 begin Friday, October 16, with availability beginning Friday, October 23. iPhone 12 mini will be available for pre-order beginning Friday, November 6, and in stores beginning Friday, November 13.“The arrival of 5G marks the beginning of a new era for iPhone and we’re thrilled to bring these impressive new capabilities to our customers with iPhone 12 and iPhone 12 mini,” said Greg Joswiak, Apple’s senior vice president of Worldwide Marketing. “We’re once again pushing the boundaries to deliver incredible computational photography advancements, Super Retina XDR displays, and the biggest leap in durability in iPhone history with the new Ceramic Shield front cover. Available in two great sizes, iPhone 12 and iPhone 12 mini take design to a new level in a new form factor that’s as beautiful as it is durable, and makes it easier than ever for customers to find the perfect iPhone to fit their lifestyle.”",1
Apple Marina Bay Sands opens Thursday in Singapore - Apple,https://www.apple.com/newsroom/2020/09/apple-marina-bay-sands-opens-thursday-in-singapore/,"Mon, 07 Sep 2020 07:00:00 GMT",[],"Singapore — Apple today previewed Apple Marina Bay Sands, the first Apple Store to sit directly on the water. Appearing as a sphere floating on the iridescent Marina Bay, the store introduces a new and captivating retail experience at one of the most iconic locations in Singapore.Entirely surrounded by water, Apple Marina Bay Sands offers uninterrupted 360-degree panoramic views of the city and its spectacular skyline. The sphere is a first-of-its-kind, all-glass dome structure that is fully self-supported, comprised of 114 pieces of glass with only 10 narrow vertical mullions for structural connection. As Apple’s third retail location in Singapore, the new store creates an unforgettable space for customers.",0
